title,breed_in_query,queries
Akita,akita,why+does+my+akita
Australian Shepherd,australian+shepherd,why+does+my+australian+shepherd
Basset Hound,basset+hound,why+does+my+basset+hound
Beagle,beagle,why+does+my+beagle
Belgian Malinois,belgian+malinois,why+does+my+belgian+malinois
Bernese Mountain Dog,bernese+mountain+dog,why+does+my+bernese+mountain+dog
Bichon Frise,bichon+frise,why+does+my+bichon+frise
Border Collie,border+collie,why+does+my+border+collie
Border Terrier,border+terrier,why+does+my+border+terrier
Boston Terrier,boston+terrier,why+does+my+boston+terrier
Boxer,boxer,why+does+my+boxer
Bull Terrier,bull+terrier,why+does+my+bull+terrier
Bulldog,bulldog,why+does+my+bulldog
Cane Corso,cane+corso,why+does+my+cane+corso
Cavapoo,cavapoo,why+does+my+cavapoo
Chihuahua,chihuahua,why+does+my+chihuahua
Chiweenie,chiweenie,why+does+my+chiweenie
Chow Chow,chow+chow,why+does+my+chow+chow
Cockapoo,cockapoo,why+does+my+cockapoo
Cocker Spaniel,cocker+spaniel,why+does+my+cocker+spaniel
Collie,collie,why+does+my+collie
Corgi,corgi,why+does+my+corgi
Dachshund (Long Haired),dachshund,why+does+my+dachshund
Dalmatian,dalmatian,why+does+my+dalmatian
Doberman,doberman,why+does+my+doberman
French Bulldog,french+bulldog,why+does+my+french+bulldog
German Shepherd Dog,german+shepherd,why+does+my+german+shepherd
German Shorthaired Pointer,gsp,why+does+my+gsp
Goldendoodle,goldendoodle,why+does+my+goldendoodle
Great Dane,great+dane,why+does+my+great+dane
Great Pyrenees,great+pyrenees,why+does+my+great+pyrenees
Greyhound,greyhound,why+does+my+greyhound
Havanese,havanese,why+does+my+havanese
Jack Russell Terrier,jack+russell,why+does+my+jack+russell
Labradoodle,labradoodle,why+does+my+labradoodle
Lhasa Apso,lhasa+apso,why+does+my+lhasa+apso
Malamute,malamute,why+does+my+malamute
Maltese,maltese,why+does+my+maltese
Mastiff,mastiff,why+does+my+mastiff
Miniature Schnauzer,miniature+schnauzer,why+does+my+miniature+schnauzer
Pekingese,pekingese,why+does+my+pekingese
Pomeranian,pomeranian,why+does+my+pomeranian
Poodle (Miniature),poodle,why+does+my+poodle
Pug,pug,why+does+my+pug
Retriever (Golden),golden+retriever,why+does+my+golden+retriever
Retriever (Labrador),labrador,why+does+my+labrador
Rottweiler,rottweiler,why+does+my+rottweiler
Samoyed,samoyed,why+does+my+samoyed
Schnauzer,schnauzer,why+does+my+schnauzer
Shar Pei,shar+pei,why+does+my+shar+pei
Shiba Inu,shiba+inu,why+does+my+shiba+inu
Shih Tzu,shih+tzu,why+does+my+shih+tzu
Siberian Husky,husky,why+does+my+husky
Spaniel (English Springer),springer+spaniel,why+does+my+springer+spaniel
St. Bernard,st+bernard,why+does+my+st+bernard
Staffordshire Bull Terrier,staffy,why+does+my+staffy
Vizsla,vizsla,why+does+my+vizsla
Weimaraner,weimaraner,why+does+my+weimaraner
Whippet,whippet,why+does+my+whippet
Yorkshire Terrier,yorkshire+terrier,why+does+my+yorkshire+terrier
